Exercise_Name,Base_Lift,exercise_id
Close Grip Bench Press (Smith Machine),Best3DeadliftKg,626
Close Grip Chest Press,Best3BenchKg,628
Close Grip Chest Press (TRX),Best3BenchKg,629
Close Grip Dips,Best3BenchKg,630
Close Grip Elevated Pushups,Best3BenchKg,631
Close Grip Incline Bench,Best3BenchKg,632
Close Grip Incline Bench Press (Smith Machine),Best3DeadliftKg,633
Close Grip Larsen Press,Best3BenchKg,634
Close Grip Palm Out Bicep Pull Down,Best3DeadliftKg,635
Close Grip Underhand Lat Pulldown,Best3DeadliftKg,638
Close Grip Underhand Lat Pulldown (chin Pulldown),Best3DeadliftKg,639
Close-Grip Push-Ups,Best3BenchKg,642
Cobra Pushups,Best3BenchKg,643
Coffin Press Dumbbell,Best3BenchKg,645
Competition Squat,Best3SquatKg,647
Compression Leg Raise,Best3BenchKg,648
Concentrated Tricep Cable Overhead,Best3BenchKg,649
Concentration Cable Curl,Best3DeadliftKg,650
Converging Machine Press (Anterior Delt),Cardio_Core,653
Copenhagen Plank,Cardio_Core,654
Copenhagen Plank Dips,Cardio_Core,655
Cossack Squats,Best3SquatKg,661
Cossack Squats (Weighted),Best3SquatKg,662
Couch Touches,Cardio_Core,665
Crab Walk,Cardio_Core,666
Cross Body Hammer Curl,Best3DeadliftKg,667
Cross Body Lat Pulldown (Single Arm),Best3DeadliftKg,669
Cross Body SA Pulldown,Best3DeadliftKg,671
Cross Body Tricep Extension,Best3BenchKg,673
Cross Body Y-Raise,Best3BenchKg,674
Crossbody Tricep Extension,Best3BenchKg,677
Crossed Overhead Triceps Extension (Cable),Best3BenchKg,678
Crunch Machine,Cardio_Core,682
Crunch Machine Weighted,Cardio_Core,683
Crunches,Cardio_Core,684
Cuff Lateral Raise (Cable),Best3DeadliftKg,688
Cuffed Behind-The-Back Lateral Raise,Best3DeadliftKg,689
Curl-Up,Best3DeadliftKg,692
Curtesy Step Up,Best3SquatKg,693
Curtsy Lunge,Best3SquatKg,695
Curtsy Lunge (Dumbbell),Best3SquatKg,696
"Custom Circuit - (Lat Raise, Bicep Curl, Upright Row, Calf Raise, Tricep Extension, Hammer Curls) 12 Reps Each Then Break)",Best3DeadliftKg,698
Cycling,Cardio_Core,700
DB Hip Hugger,Best3SquatKg,705
DB Lateral Raise,Best3DeadliftKg,706
DB Wrist Extensions,Best3DeadliftKg,708
Dead Hang For Time,Best3DeadliftKg,714
Deadlift,Best3DeadliftKg,717
Deadlift (Banded),Cardio_Core,718
Deadlift (Barbell / KG),Best3DeadliftKg,719
Deadlift (Block),Best3DeadliftKg,721
Deadlift (Deficit),Best3DeadliftKg,722
Deadlift (Harambe System/Barbell),Best3DeadliftKg,724
Deadlift (Paused),Best3DeadliftKg,725
Deadlift (To Knees),Best3DeadliftKg,727
Deadlift Hold 150kgs,Best3DeadliftKg,730
Decline Bench Press (Dumbbell),Best3BenchKg,733
Decline Bench Press (Smith Machine),Best3DeadliftKg,734
Decline Cable Fly,Best3BenchKg,735
Decline Chest Press,Best3BenchKg,737
Decline Crunch,Cardio_Core,739
Decline Deficit Pike Push-Ups,Best3BenchKg,741
Decline Dumbell Scullcrusher,Best3BenchKg,742
Decline Flye - Dumbbell,Best3BenchKg,743
Decline Hammer Strength,Best3BenchKg,744
Decline Hammer Strength Press,Best3BenchKg,745
Decline Ring push Up,Best3BenchKg,749
Decline Sit Up (Weighted),Cardio_Core,751
Decline Skull Crushers,Best3BenchKg,752
Decline Skullcrusher,Best3BenchKg,753
Decline overhead Cable Fly (lower),Best3BenchKg,754
Deep Goblet Squat Holds w/ Pulse,Best3SquatKg,755
Deep Split Jerk Hold,Best3SquatKg,756
Deep Split Squats (Weighted),Best3SquatKg,757
Deep Squat Hold,Best3SquatKg,758
Deficit Deadlift (Barbell),Best3DeadliftKg,761
Deficit Exploding Pushup,Best3BenchKg,762
Deficit Goblet Squats,Best3SquatKg,763
Deficit Handstand Push Up,Best3BenchKg,764
Deficit Pendlay Row,Best3DeadliftKg,765
Deficit Push Up,Best3BenchKg,766
Deficit Reverse Lunge,Best3SquatKg,768
Deficit Ring Push Up,Best3BenchKg,769
Deficit Romanian Deadlift (Barbell),Best3DeadliftKg,771
Deficit Row,Best3DeadliftKg,772
Depth Jump,Cardio_Core,774
Diagonal Supinated Lat Pulldown,Best3DeadliftKg,775
Diamond Push Ups,Best3BenchKg,776
Diamond Pushups,Best3BenchKg,778
Dive-Bomber Push Ups,Best3BenchKg,786
Donkey Kick (Dumbbell),Cardio_Core,789
Donkey Machine Calf Raise,Best3SquatKg,792
Dorsiflexion With Band,Cardio_Core,794
Double Kettlebell Press,Best3BenchKg,795
Double Leg Multi-Directional Pogo,Cardio_Core,796
Double Quadruped Transverse Hip Abduction,Best3SquatKg,797
Drag Curl,Best3DeadliftKg,801
Drag Curls,Best3DeadliftKg,802
Dragon Fly,Best3BenchKg,804
Driving Pin Squat,Best3SquatKg,805
Dual Cable Lat Pull Down,Best3DeadliftKg,806
Dual Handle Elbows Out Row,Best3DeadliftKg,808
Dual Rope Extension,Best3DeadliftKg,810
Dumbbell Alternating Bench Press,Best3BenchKg,812
Dumbbell Bench Pullover,Best3DeadliftKg,813
Dumbbell Bench-Braced Wrist Curl,Best3DeadliftKg,814
Dumbbell Calf Jumps,Cardio_Core,816
Dumbbell Chest Press/Floor Press,Best3BenchKg,817
Dumbbell Crush Press,Best3BenchKg,818
Dumbbell Gorilla Row,Best3DeadliftKg,820
Dumbbell Hyperextension,Best3DeadliftKg,825
Dumbbell Incline Bench Row,Best3DeadliftKg,826
Dumbbell Press Or Weighted Pushups (Swap This Out For Either),Best3BenchKg,828
Dumbbell RDL,Best3DeadliftKg,830
Dumbbell Renegade Row,Best3DeadliftKg,831
Dumbbell Scull Crusher,Best3BenchKg,833
Dumbbell Shoulder Press,Best3BenchKg,834
Dumbbell Squat And Press,Best3SquatKg,837
Dumbbell Step Up,Best3SquatKg,838
Dumbbell Supinated Curl,Best3DeadliftKg,839
Dumbbell Swing,Best3DeadliftKg,840
Dumbbell Swings,Best3DeadliftKg,841
Dumbbell Tripod Row,Best3DeadliftKg,844
Dumbbell Underhand Chest Fly,Best3BenchKg,845
Dumbbell Upper Back Row,Best3DeadliftKg,846
Dumbbell Walking Lunges,Cardio_Core,847
Dumbbell seated Row,Best3DeadliftKg,848
Dumbell Incline Shrugs,Best3DeadliftKg,849
Dumbell NEWS Leg Extension,Best3SquatKg,851
Dumbell Skullcrusher,Best3BenchKg,854
Dumbell Wide curl,Best3DeadliftKg,857
Dynamic Side Plank,Cardio_Core,864
Développer Horizontale,Best3BenchKg,868
EZ Bar Skull Crusher,Best3BenchKg,869
EZ Bar Skullcrushers,Best3BenchKg,870
Eccentric Calf Raises,Best3SquatKg,873
Elevated Heel Squat Holds,Best3SquatKg,884
Elevated Push Ups,Best3BenchKg,887
Elevated Squats,Best3SquatKg,889
Elevated skier Squat,Best3SquatKg,891
Elliptical Machine,Best3DeadliftKg,893
Erg Row,Cardio_Core,894
Etupunnerrus,Best3BenchKg,895
Eugene Forearm Extensions (Cable),Best3DeadliftKg,897
Explosive Bench Press,Best3BenchKg,899
External Rotations,Best3DeadliftKg,902
