Exercise_Name,Base_Lift,exercise_id
Barbell Front Raises,Best3BenchKg,268
Barbell Glute Bridge,Best3SquatKg,269
Barbell Hack Squat,Best3SquatKg,270
Barbell Hang Clean To Overhead Press,Best3DeadliftKg,271
Barbell Hip Thrust,Best3SquatKg,272
Barbell Hold,Best3DeadliftKg,273
Barbell Hyperextension,Best3DeadliftKg,274
Barbell RDL,Best3DeadliftKg,275
Barbell Rollout,Cardio_Core,276
Barbell Row,Best3DeadliftKg,277
Barbell Row (smith Machine),Best3DeadliftKg,278
Barbell Shoulder Press,Best3BenchKg,279
Barbell Squat,Best3SquatKg,280
Barbell Squat (With Bands),Cardio_Core,281
Barbell Static Hold,Best3DeadliftKg,282
Barbell Strict Curl,Best3DeadliftKg,283
Barbell Sumo Deadlift,Best3DeadliftKg,284
Barbell Walking Lunge,Cardio_Core,285
Barbell Wrist Curl (12-15),Best3DeadliftKg,286
Barbell Wrist Flexion & Extension,Best3DeadliftKg,287
Barbell Yates Row (Rest Pause Last Set),Best3DeadliftKg,288
Barefoot Mobility,Cardio_Core,289
Basyian Curl,Best3DeadliftKg,290
Battle Ropes,Cardio_Core,291
Batwing Isometric Holds,Cardio_Core,292
Batwing Row,Best3DeadliftKg,293
Bayesian Curl,Best3DeadliftKg,294
Baysian Curl,Best3DeadliftKg,295
Bear Complex,Best3SquatKg,296
Bear Craw Isometric Hold,Cardio_Core,297
Bear Crawl,Cardio_Core,298
Bear Hug,Cardio_Core,299
Bear Position Pull Through,Best3DeadliftKg,300
Behind Back Bicep Cable Curl,Best3DeadliftKg,301
Behind Curls,Best3DeadliftKg,302
Behind The Back Arm Extension,Best3DeadliftKg,303
Behind The Back Holds,Best3DeadliftKg,304
Behind The Back Lateral Raise (Cable),Best3DeadliftKg,305
Behind The Back Shrug,Best3DeadliftKg,306
Behind The Back Shrugs,Best3DeadliftKg,307
Behind The Neck Press,Best3BenchKg,308
Behind The Neck Press (Seated),Best3BenchKg,309
Behind The Neck Pullups,Best3DeadliftKg,310
Behind-The-Back Cable Lateral Raise,Best3DeadliftKg,311
Behind-The-Back Dumbbell Wrist Curl,Best3DeadliftKg,312
Behind-The-Back Lateral Raise,Best3DeadliftKg,313
Behind-The-Back Shrug,Best3DeadliftKg,314
