iter	F1	Logloss
668	0.9858304428	0.05877240997
669	0.9858447873	0.05875646312
670	0.9858447873	0.05875644417
671	0.9858734777	0.05870316861
672	0.9858734777	0.05866819219
673	0.9858734777	0.05865235326
674	0.9858878234	0.05859248363
675	0.9859308633	0.05856096626
676	0.9859308633	0.05853430177
677	0.9859165163	0.05846207465
678	0.9859595586	0.05841260178
679	0.9859452107	0.05836092764
680	0.9859739069	0.05827979683
681	0.9859739069	0.05825888566
682	0.9860026047	0.05817167032
683	0.9860026047	0.05809312378
684	0.9860026047	0.05795953234
685	0.9859882556	0.05793099845
686	0.9859882556	0.0579309948
687	0.9860169543	0.05790996595
688	0.9860169543	0.057909961
689	0.9860169543	0.05790994835
690	0.9860456546	0.05782286451
691	0.9860313042	0.05775032875
692	0.9860456546	0.05767581162
693	0.9860743566	0.0576409669
694	0.9860600054	0.05758350715
695	0.9860600054	0.0575653083
