iter	Passed	Remaining
1240	30720	18788
1241	30739	18760
1242	30756	18731
1243	30776	18703
1244	30794	18674
1245	30812	18645
1246	30833	18618
1247	30852	18590
1248	30870	18561
1249	30887	18532
1250	30902	18501
1251	30922	18474
1252	30941	18446
1253	30958	18417
1254	30975	18387
1255	30994	18359
1256	31015	18332
1257	31034	18304
1258	31053	18276
1259	31073	18249
1260	31089	18219
1261	31107	18190
1262	31127	18163
1263	31144	18134
1264	31158	18103
1265	31175	18074
1266	31193	18046
1267	31211	18017
1268	31228	17988
1269	31247	17961
1270	31266	17933
1271	31285	17905
1272	31302	17876
1273	31321	17848
1274	31342	17822
1275	31361	17794
1276	31383	17768
1277	31406	17743
1278	31426	17716
1279	31445	17688
1280	31467	17661
1281	31485	17633
1282	31507	17607
1283	31523	17578
1284	31542	17550
1285	31562	17523
1286	31579	17494
1287	31593	17464
1288	31612	17436
1289	31629	17408
1290	31645	17379
1291	31663	17351
1292	31683	17323
1293	31700	17295
1294	31717	17267
1295	31733	17237
1296	31751	17209
1297	31769	17181
1298	31787	17154
1299	31808	17127
1300	31824	17098
1301	31840	17069
1302	31855	17040
1303	31874	17012
1304	31890	16984
1305	31906	16954
1306	31926	16927
1307	31942	16899
1308	31958	16870
1309	31975	16841
1310	31992	16813
1311	32012	16787
1312	32032	16760
1313	32052	16733
1314	32073	16707
1315	32096	16682
1316	32115	16655
1317	32133	16627
1318	32155	16601
1319	32178	16576
1320	32200	16551
1321	32226	16527
1322	32251	16503
1323	32272	16477
1324	32292	16450
1325	32314	16425
1326	32337	16400
1327	32355	16372
1328	32374	16345
1329	32393	16318
1330	32419	16294
1331	32438	16268
1332	32462	16243
1333	32484	16217
1334	32501	16190
1335	32521	16163
1336	32540	16136
1337	32560	16110
1338	32580	16083
1339	32604	16059
1340	32626	16033
1341	32650	16008
1342	32678	15986
1343	32701	15961
1344	32726	15937
1345	32747	15911
1346	32770	15886
1347	32790	15860
1348	32810	15833
1349	32836	15810
1350	32860	15785
1351	32878	15758
1352	32902	15733
1353	32923	15708
1354	32945	15682
1355	32966	15656
1356	32987	15630
1357	33010	15606
1358	33031	15580
1359	33051	15553
1360	33071	15527
1361	33095	15502
1362	33118	15477
1363	33140	15452
1364	33163	15427
1365	33186	15402
1366	33206	15376
1367	33227	15350
1368	33244	15323
1369	33267	15298
1370	33288	15272
1371	33311	15247
1372	33330	15220
1373	33349	15194
1374	33367	15166
1375	33385	15139
1376	33403	15112
1377	33423	15086
1378	33443	15060
1379	33468	15036
1380	33490	15011
1381	33508	14984
1382	33531	14959
1383	33551	14933
1384	33572	14907
1385	33593	14881
1386	33617	14857
1387	33645	14834
1388	33668	14810
1389	33692	14785
1390	33713	14760
1391	33740	14737
1392	33770	14715
1393	33793	14690
1394	33818	14667
1395	33843	14642
1396	33867	14618
1397	33888	14593
1398	33911	14568
1399	33926	14540
1400	33943	14512
1401	33958	14484
1402	33981	14459
1403	34005	14435
1404	34025	14409
1405	34045	14383
1406	34067	14358
1407	34088	14332
1408	34117	14310
1409	34139	14285
1410	34157	14258
1411	34178	14233
1412	34200	14207
1413	34224	14183
1414	34250	14159
1415	34270	14134
1416	34294	14109
1417	34314	14084
1418	34333	14057
1419	34354	14032
1420	34376	14006
1421	34400	13982
1422	34421	13957
1423	34442	13931
1424	34460	13905
1425	34477	13878
1426	34498	13852
1427	34516	13826
1428	34539	13801
1429	34559	13775
1430	34576	13748
1431	34596	13722
1432	34617	13697
1433	34636	13671
1434	34655	13644
1435	34676	13619
1436	34698	13594
1437	34719	13568
1438	34740	13543
1439	34759	13517
1440	34779	13491
1441	34796	13465
1442	34819	13440
1443	34841	13415
1444	34859	13389
1445	34877	13362
1446	34894	13335
1447	34914	13309
1448	34929	13282
1449	34950	13256
1450	34967	13230
1451	34987	13204
1452	35002	13177
1453	35019	13150
1454	35035	13123
1455	35053	13096
1456	35069	13069
1457	35084	13042
1458	35104	13016
1459	35123	12990
1460	35144	12965
1461	35164	12940
1462	35184	12914
1463	35209	12891
1464	35225	12863
1465	35246	12838
1466	35263	12812
1467	35283	12786
1468	35303	12761
1469	35324	12736
1470	35345	12710
1471	35368	12686
1472	35391	12662
1473	35410	12636
1474	35432	12611
1475	35451	12585
1476	35473	12561
1477	35492	12535
1478	35516	12511
1479	35544	12488
1480	35567	12464
1481	35589	12439
1482	35610	12414
1483	35631	12389
1484	35652	12364
1485	35676	12340
1486	35700	12316
1487	35722	12291
1488	35744	12266
1489	35764	12241
1490	35782	12215
1491	35803	12190
1492	35822	12164
1493	35842	12139
1494	35863	12114
1495	35884	12089
1496	35908	12065
1497	35927	12039
1498	35947	12014
1499	35966	11988
1500	35989	11964
1501	36009	11939
1502	36028	11913
1503	36051	11889
1504	36072	11864
1505	36093	11839
1506	36114	11814
1507	36129	11787
1508	36150	11762
1509	36167	11736
1510	36187	11711
1511	36206	11685
1512	36226	11660
1513	36247	11635
1514	36266	11609
1515	36283	11583
1516	36301	11558
1517	36317	11531
1518	36336	11506
1519	36355	11480
1520	36372	11454
1521	36393	11429
1522	36414	11405
1523	36429	11378
1524	36448	11352
1525	36469	11328
1526	36491	11303
1527	36509	11277
1528	36525	11251
1529	36543	11225
1530	36565	11201
1531	36588	11177
1532	36615	11154
1533	36639	11130
1534	36659	11105
1535	36685	11082
1536	36706	11057
1537	36728	11032
1538	36751	11008
1539	36776	10985
1540	36802	10961
1541	36823	10937
1542	36849	10913
1543	36872	10889
1544	36895	10865
1545	36920	10842
1546	36939	10816
1547	36963	10793
1548	36987	10769
1549	37011	10745
1550	37033	10720
1551	37053	10695
1552	37078	10672
1553	37100	10647
1554	37121	10623
1555	37142	10598
1556	37165	10574
1557	37192	10551
1558	37219	10528
1559	37244	10504
1560	37266	10480
1561	37288	10456
1562	37309	10431
1563	37326	10405
1564	37347	10381
1565	37367	10356
1566	37387	10331
1567	37407	10306
1568	37424	10280
1569	37446	10256
1570	37464	10230
1571	37484	10205
1572	37505	10181
1573	37523	10155
1574	37545	10131
1575	37564	10106
1576	37582	10080
1577	37602	10055
1578	37622	10031
1579	37640	10005
1580	37659	9980
1581	37682	9956
1582	37698	9930
1583	37718	9905
1584	37734	9880
1585	37752	9854
1586	37768	9828
1587	37787	9803
1588	37802	9777
1589	37822	9752
1590	37842	9728
1591	37859	9702
1592	37876	9677
1593	37894	9652
1594	37917	9627
1595	37935	9602
1596	37953	9577
1597	37972	9552
1598	37989	9527
1599	38008	9502
1600	38025	9476
1601	38045	9451
1602	38062	9426
1603	38081	9401
1604	38099	9376
1605	38116	9351
1606	38136	9326
1607	38154	9301
1608	38170	9275
1609	38187	9250
1610	38204	9225
1611	38220	9199
1612	38235	9173
1613	38253	9148
1614	38275	9124
1615	38292	9099
1616	38310	9074
1617	38322	9047
1618	38341	9022
1619	38363	8998
1620	38379	8973
1621	38395	8947
1622	38413	8923
1623	38431	8897
1624	38446	8872
1625	38466	8847
1626	38485	8823
1627	38502	8797
1628	38521	8773
1629	38542	8748
1630	38560	8723
1631	38575	8698
1632	38596	8674
1633	38617	8649
1634	38634	8624
1635	38650	8599
1636	38668	8574
1637	38684	8549
1638	38703	8524
1639	38724	8500
1640	38743	8475
1641	38762	8451
1642	38781	8426
1643	38798	8401
1644	38813	8376
1645	38831	8351
1646	38849	8326
1647	38864	8301
1648	38880	8275
1649	38899	8251
1650	38920	8227
1651	38938	8202
1652	38957	8178
1653	38978	8153
1654	38997	8129
1655	39013	8104
1656	39031	8079
1657	39050	8055
1658	39068	8030
1659	39085	8005
1660	39103	7980
1661	39121	7956
1662	39142	7932
1663	39163	7908
